고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익
2801,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,OFF-SU-10002448,사무용품,일반 사무용품,"Stiletto Trimmer, High Speed",23982.75,1,0.45,-11360.25
2802,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,TEC-CO-10002150,사무기기,복사기,"Canon Fax and Copier, Digital",253239.48,2,0.35,58439.88
2803,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,FUR-FU-10003214,가구,가구류,"Eldon Stacking Tray, Durable",43650.9,2,0.25,1116.9
2804,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,OFF-FA-10001375,사무용품,파스너,"Accos Clamps, 12 Pack",63314.46,6,0.45,-42622.74
2805,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,TEC-MA-10002701,사무기기,전산기기,"Konica Inkjet, Durable",238565.25,1,0.25,60412.05
2806,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,TEC-MA-10002998,사무기기,전산기기,"Okidata Receipt Printer, Durable",470589.75,5,0.25,-112952.25
2807,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,FUR-CH-10002872,가구,의자,"SAFCO Executive Leather Armchair, Adjustable",709797.6,2,0.25,-170380.8
2808,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,FUR-FU-10002210,가구,가구류,"Tenex Clock, Black",230647.5,6,0.25,-24740.1
2809,ID-2012-66412,2013-03-31,2013-04-04,표준 배송,AF-10870,배희순,소비자,마포구,서울특별시,대한민국,수도권,OFF-FA-10000353,사무용품,파스너,"Accos Staples, Metal",31051.35,5,0.45,-24946.65
2810,IN-2014-54939,2015-12-07,2015-12-12,표준 배송,MZ-17335,황명희,홈 오피스,구미시,경상북도,대한민국,영남,TEC-PH-10004682,사무기기,전화기,"Cisco Headset, VoIP",449696.988,6,0.17,27049.788
2811,ID-2014-76849,2015-05-16,2015-05-18,빠른 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,OFF-EN-10004550,사무용품,봉투,"GlobeWeis Interoffice Envelope, Recycled",151216.632,6,0.47,-42848.568
2812,ID-2014-76849,2015-05-16,2015-05-18,빠른 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,OFF-PA-10003731,사무용품,종이,"Enermax Note Cards, Premium",32338.692,2,0.47,-4320.108
2813,ID-2014-76849,2015-05-16,2015-05-18,빠른 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,FUR-FU-10003414,가구,가구류,"Tenex Clock, Duo Pack",224764.956,6,0.27,36942.156
2814,ID-2014-76849,2015-05-16,2015-05-18,빠른 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,OFF-BI-10001399,사무용품,바인더,"Avery Binder Covers, Clear",35658.792,4,0.17,-82.008
2815,IN-2013-17622,2014-03-04,2014-03-10,표준 배송,RW-19540,류태식,기업 고객,원주시,강원도,대한민국,강원,FUR-FU-10002829,가구,가구류,"Deflect-O Clock, Black",256581,5,0,17901
2816,IN-2015-40113,2016-02-06,2016-02-13,표준 배송,RH-19510,한세리,홈 오피스,청도군,경상북도,대한민국,영남,TEC-MA-10002871,사무기기,전산기기,"Panasonic Receipt Printer, Red",361233,3,0,111904.2
2817,IN-2015-38006,2016-01-04,2016-01-11,표준 배송,AJ-10795,현주석,기업 고객,수성구,대구광역시,대한민국,영남,OFF-AR-10004219,사무용품,필기구,"Sanford Pencil Sharpener, Easy-Erase",221054.4,8,0,110404.8
2818,ID-2015-68085,2016-12-05,2016-12-08,특급 배송,TC-21145,허다솜,기업 고객,충주시,충청북도,대한민국,충청,FUR-CH-10001147,가구,의자,"Hon Swivel Stool, Adjustable",915099.12,6,0.1,-10244.88
2819,IN-2012-25889,2013-12-08,2013-12-12,표준 배송,BP-11185,조성민,기업 고객,봉화군,경상북도,대한민국,영남,FUR-BO-10000035,가구,책장,"Dania Classic Bookcase, Pine",2648218.86,7,0.1,941473.26
2820,IN-2012-25889,2013-12-08,2013-12-12,표준 배송,BP-11185,조성민,기업 고객,봉화군,경상북도,대한민국,영남,FUR-FU-10000783,가구,가구류,"Advantus Light Bulb, Durable",109884.6,7,0.1,19492.2
2821,IN-2012-25889,2013-12-08,2013-12-12,표준 배송,BP-11185,조성민,기업 고객,봉화군,경상북도,대한민국,영남,TEC-MA-10002701,사무기기,전산기기,"Konica Inkjet, Durable",572556.6,2,0.1,216250.2
2822,IN-2015-56920,2016-07-11,2016-07-18,표준 배송,GM-14695,이윤석,기업 고객,도봉구,서울특별시,대한민국,수도권,FUR-FU-10004503,가구,가구류,"Tenex Photo Frame, Black",142767.36,3,0.1,44357.76
2823,IN-2015-56920,2016-07-11,2016-07-18,표준 배송,GM-14695,이윤석,기업 고객,도봉구,서울특별시,대한민국,수도권,OFF-LA-10000216,사무용품,라벨,"Novimex Round Labels, Alphabetical",5590.62,1,0.1,296.82
2824,IN-2015-56920,2016-07-11,2016-07-18,표준 배송,GM-14695,이윤석,기업 고객,도봉구,서울특별시,대한민국,수도권,OFF-LA-10004894,사무용품,라벨,"Hon Shipping Labels, Alphabetical",20544.84,2,0.1,7937.64
2825,ID-2015-74315,2016-03-10,2016-03-13,특급 배송,NM-18445,조우철,홈 오피스,수영구,부산광역시,대한민국,영남,TEC-PH-10000922,사무기기,전화기,"Nokia Headset, with Caller ID",298288.8,8,0.5,-83599.2
2826,ID-2015-74315,2016-03-10,2016-03-13,특급 배송,NM-18445,조우철,홈 오피스,수영구,부산광역시,대한민국,영남,OFF-SU-10004198,사무용품,일반 사무용품,"Kleencut Scissors, Easy Grip",36582.3,3,0.5,-27126.9
2827,ID-2012-74539,2013-08-13,2013-08-19,표준 배송,TB-21175,김병철,기업 고객,울주군,울산광역시,대한민국,영남,TEC-PH-10001921,사무기기,전화기,"Nokia Signal Booster, with Caller ID",231121.8,2,0.17,-16738.2
2828,ID-2012-74539,2013-08-13,2013-08-19,표준 배송,TB-21175,김병철,기업 고객,울주군,울산광역시,대한민국,영남,TEC-CO-10001501,사무기기,복사기,"Canon Fax and Copier, Laser",1089030.744,6,0.07,93551.544
2829,ID-2012-74539,2013-08-13,2013-08-19,표준 배송,TB-21175,김병철,기업 고객,울주군,울산광역시,대한민국,영남,TEC-PH-10002154,사무기기,전화기,"Cisco Headset, Full Size",303861.672,4,0.17,25524.072
2830,ID-2012-74539,2013-08-13,2013-08-19,표준 배송,TB-21175,김병철,기업 고객,울주군,울산광역시,대한민국,영남,TEC-AC-10003776,사무기기,악세사리,"Belkin Flash Drive, Programmable",70450.992,3,0.47,-39892.608
2831,IN-2015-65719,2016-03-19,2016-03-23,빠른 배송,AB-10255,김희준,홈 오피스,광명시,경기도,대한민국,수도권,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",105264,8,0,43084.8
2832,IN-2013-65915,2014-06-05,2014-06-07,빠른 배송,CC-12145,정보람,소비자,노원구,서울특별시,대한민국,수도권,FUR-BO-10001461,가구,책장,"Safco Floating Shelf Set, Traditional",200674.8,1,0,100337.4
2833,IN-2013-65915,2014-06-05,2014-06-07,빠른 배송,CC-12145,정보람,소비자,노원구,서울특별시,대한민국,수도권,OFF-FA-10004910,사무용품,파스너,"Advantus Staples, Assorted Sizes",25428.6,3,0,1744.2
2834,IN-2013-65915,2014-06-05,2014-06-07,빠른 배송,CC-12145,정보람,소비자,노원구,서울특별시,대한민국,수도권,OFF-AP-10001335,사무용품,가전,"Hoover Toaster, Black",169462.8,2,0,47430
2835,IN-2013-65915,2014-06-05,2014-06-07,빠른 배송,CC-12145,정보람,소비자,노원구,서울특별시,대한민국,수도권,OFF-AR-10004651,사무용품,필기구,"Boston Pens, Fluorescent",47368.8,3,0,6609.6
2836,IN-2013-65915,2014-06-05,2014-06-07,빠른 배송,CC-12145,정보람,소비자,노원구,서울특별시,대한민국,수도권,FUR-BO-10000087,가구,책장,"Dania Classic Bookcase, Mobile",843091.2,2,0,42105.6
2837,IN-2013-65915,2014-06-05,2014-06-07,빠른 배송,CC-12145,정보람,소비자,노원구,서울특별시,대한민국,수도권,OFF-FA-10003161,사무용품,파스너,"OIC Paper Clips, Assorted Sizes",48470.4,4,0,19828.8
2838,IN-2013-52657,2014-12-18,2014-12-20,빠른 배송,BV-11245,안주성,기업 고객,증평군,충청북도,대한민국,충청,OFF-LA-10000590,사무용품,라벨,"Smead Color Coded Labels, 5000 Label Set",41126.4,3,0,18910.8
2839,IN-2015-33834,2016-12-26,2016-12-29,특급 배송,SP-20620,황은설,기업 고객,해남군,전라남도,대한민국,호남,OFF-AR-10002109,사무용품,필기구,"Binney & Smith Sketch Pad, Fluorescent",145594.8,3,0,40759.2
2840,IN-2015-33834,2016-12-26,2016-12-29,특급 배송,SP-20620,황은설,기업 고객,해남군,전라남도,대한민국,호남,FUR-FU-10001933,가구,가구류,"Tenex Stacking Tray, Black",77387.4,3,0,23133.6
2841,ID-2015-69058,2016-05-22,2016-05-27,빠른 배송,RB-19645,조채아,기업 고객,제주시,제주특별자치도,대한민국,호남,TEC-AC-10004306,사무기기,악세사리,"Belkin Keyboard, Bluetooth",188226.72,4,0.45,-136990.08
2842,ID-2015-69058,2016-05-22,2016-05-27,빠른 배송,RB-19645,조채아,기업 고객,제주시,제주특별자치도,대한민국,호남,OFF-AR-10001862,사무용품,필기구,"Boston Pens, Water Color",39045.6,4,0.45,1346.4
2843,ID-2013-15641,2014-09-06,2014-09-11,표준 배송,SW-20455,박주선,소비자,부천시,경기도,대한민국,수도권,OFF-BI-10002881,사무용품,바인더,"Wilson Jones Binding Machine, Economy",248697.216,6,0.17,-45062.784
2844,ID-2013-15641,2014-09-06,2014-09-11,표준 배송,SW-20455,박주선,소비자,부천시,경기도,대한민국,수도권,OFF-SU-10002152,사무용품,일반 사무용품,"Fiskars Shears, Serrated",47940.408,2,0.47,-40738.392
2845,ID-2014-26813,2015-12-19,2015-12-23,빠른 배송,GG-14650,오지은,기업 고객,서천군,충청남도,대한민국,충청,OFF-SU-10001689,사무용품,일반 사무용품,"Acme Box Cutter, Easy Grip",442292.4,11,0,8751.6
2846,ID-2014-33778,2015-08-06,2015-08-08,특급 배송,HR-14830,문경민,기업 고객,의정부시,경기도,대한민국,수도권,FUR-CH-10000981,가구,의자,"Novimex Swivel Stool, Set of Two",765198.9,5,0.1,-42641.1
2847,ID-2014-33778,2015-08-06,2015-08-08,특급 배송,HR-14830,문경민,기업 고객,의정부시,경기도,대한민국,수도권,OFF-FA-10003257,사무용품,파스너,"Accos Thumb Tacks, 12 Pack",24069.96,2,0.1,507.96
2848,ID-2012-14122,2013-10-14,2013-10-19,표준 배송,TT-21460,반세찬,홈 오피스,성북구,서울특별시,대한민국,수도권,OFF-ST-10004608,사무용품,수납용품,"Smead Shelving, Industrial",226791.9,5,0.1,-107.1
2849,IN-2015-11637,2016-10-14,2016-10-16,특급 배송,MM-17260,홍찬호,소비자,서산시,충청남도,대한민국,충청,OFF-BI-10002682,사무용품,바인더,"Cardinal Binding Machine, Economy",101530.8,2,0,34516.8
2850,IN-2015-11637,2016-10-14,2016-10-16,특급 배송,MM-17260,홍찬호,소비자,서산시,충청남도,대한민국,충청,FUR-CH-10001465,가구,의자,"Hon Swivel Stool, Red",834615,5,0,383877
2851,IN-2012-67021,2013-02-07,2013-02-12,빠른 배송,NW-18400,손민,소비자,강남구,서울특별시,대한민국,수도권,OFF-ST-10004871,사무용품,수납용품,"Rogers Trays, Blue",188740.8,3,0,49021.2
2852,IN-2015-56437,2016-10-17,2016-10-22,표준 배송,LH-17155,김경채,소비자,파주시,경기도,대한민국,수도권,OFF-PA-10001006,사무용품,종이,"Eaton Message Books, Recycled",94049.1,5,0.1,33308.1
2853,ID-2015-21346,2016-06-13,2016-06-18,표준 배송,PF-19165,노채아,소비자,강남구,서울특별시,대한민국,수도권,OFF-FA-10001375,사무용품,파스너,"Accos Clamps, 12 Pack",69070.32,4,0.1,-1554.48
2854,ID-2012-32042,2013-11-03,2013-11-08,표준 배송,KD-16270,우정흠,소비자,동구,광주광역시,대한민국,호남,OFF-ST-10001707,사무용품,수납용품,"Smead Shelving, Single Width",44945.28,1,0.1,-3004.92
2855,IN-2015-53574,2016-06-28,2016-07-02,표준 배송,SW-20275,권규태,소비자,임실군,전라북도,대한민국,호남,OFF-FA-10003779,사무용품,파스너,"Stockwell Paper Clips, Assorted Sizes",51004.08,4,0.1,17466.48
2856,IN-2013-42479,2014-12-04,2014-12-06,빠른 배송,VD-21670,진라연,소비자,군포시,경기도,대한민국,수도권,TEC-PH-10003823,사무기기,전화기,"Apple Headset, Full Size",126228.06,2,0.17,33448.86
2857,IN-2015-41814,2016-09-12,2016-09-14,특급 배송,SD-20485,윤혜진,홈 오피스,오산시,경기도,대한민국,수도권,TEC-CO-10004170,사무기기,복사기,"HP Wireless Fax, High-Speed",365578.2,1,0,116983.8
2858,IN-2015-41814,2016-09-12,2016-09-14,특급 배송,SD-20485,윤혜진,홈 오피스,오산시,경기도,대한민국,수도권,OFF-ST-10002395,사무용품,수납용품,"Rogers Lockers, Single Width",647649,3,0,284947.2
2859,IN-2015-41814,2016-09-12,2016-09-14,특급 배송,SD-20485,윤혜진,홈 오피스,오산시,경기도,대한민국,수도권,OFF-BI-10004436,사무용품,바인더,"Acco Hole Reinforcements, Recycled",7160.4,1,0,122.4
2860,IN-2015-41814,2016-09-12,2016-09-14,특급 배송,SD-20485,윤혜진,홈 오피스,오산시,경기도,대한민국,수도권,TEC-PH-10003823,사무기기,전화기,"Apple Headset, Full Size",456246,6,0,177908.4
2861,ID-2013-44495,2014-02-23,2014-02-27,표준 배송,KM-16225,노예찬,기업 고객,노원구,서울특별시,대한민국,수도권,OFF-PA-10002974,사무용품,종이,"Enermax Note Cards, 8.5 x 11",86934.6,3,0,16432.2
2862,ID-2014-50872,2015-02-11,2015-02-17,표준 배송,SC-20680,문노아,홈 오피스,진주시,경상남도,대한민국,영남,TEC-AC-10000284,사무기기,악세사리,"Belkin Flash Drive, Bluetooth",22672.764,1,0.47,-7713.036
2863,ID-2014-50872,2015-02-11,2015-02-17,표준 배송,SC-20680,문노아,홈 오피스,진주시,경상남도,대한민국,영남,OFF-SU-10001382,사무용품,일반 사무용품,"Acme Trimmer, Serrated",349476.48,10,0.17,37662.48
2864,ID-2014-50872,2015-02-11,2015-02-17,표준 배송,SC-20680,문노아,홈 오피스,진주시,경상남도,대한민국,영남,OFF-AR-10003613,사무용품,필기구,"Sanford Canvas, Easy-Erase",343990.512,8,0.17,53657.712
2865,ID-2012-37621,2013-07-01,2013-07-03,특급 배송,PM-19135,강병훈,홈 오피스,구로구,서울특별시,대한민국,수도권,FUR-TA-10002527,가구,탁자,"Barricks Round Table, Fully Assembled",543821.976,2,0.47,-307837.224
2866,ID-2012-37621,2013-07-01,2013-07-03,특급 배송,PM-19135,강병훈,홈 오피스,구로구,서울특별시,대한민국,수도권,OFF-AR-10000465,사무용품,필기구,"Sanford Markers, Blue",69247.8,4,0.27,-8598.6
2867,ID-2012-37621,2013-07-01,2013-07-03,특급 배송,PM-19135,강병훈,홈 오피스,구로구,서울특별시,대한민국,수도권,OFF-ST-10004228,사무용품,수납용품,"Tenex Shelving, Industrial",140044.572,3,0.17,23550.372
2868,ID-2015-49381,2016-07-12,2016-07-17,표준 배송,SP-20650,김지혜,기업 고객,안양시,경기도,대한민국,수도권,OFF-SU-10003343,사무용품,일반 사무용품,"Fiskars Scissors, Serrated",42945.264,4,0.47,-7361.136
2869,IN-2013-65537,2014-09-11,2014-09-15,표준 배송,MT-17815,손미혜,소비자,영등포구,서울특별시,대한민국,수도권,FUR-BO-10000980,가구,책장,"Bush Library with Doors, Traditional",691187.904,2,0.07,215480.304
2870,IN-2014-50753,2015-06-19,2015-06-25,표준 배송,TS-21430,구성욱,기업 고객,중구,인천광역시,대한민국,수도권,FUR-TA-10004826,가구,탁자,"Bevis Training Table, Rectangular",678402,2,0,217076.4
2871,IN-2014-50753,2015-06-19,2015-06-25,표준 배송,TS-21430,구성욱,기업 고객,중구,인천광역시,대한민국,수도권,FUR-FU-10000714,가구,가구류,"Tenex Light Bulb, Black",57925.8,3,0,8629.2
2872,IN-2014-50753,2015-06-19,2015-06-25,표준 배송,TS-21430,구성욱,기업 고객,중구,인천광역시,대한민국,수도권,OFF-LA-10000195,사무용품,라벨,"Novimex File Folder Labels, Laser Printer Compatible",33660,4,0,244.8
2873,IN-2014-31167,2015-11-13,2015-11-17,표준 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,OFF-BI-10002712,사무용품,바인더,"Acco Hole Reinforcements, Durable",14149.44,2,0.15,1481.04
2874,IN-2014-31167,2015-11-13,2015-11-17,표준 배송,DB-13210,배조은,소비자,하남시,경기도,대한민국,수도권,OFF-ST-10003306,사무용품,수납용품,"Eldon File Cart, Single Width",72015.57,1,0.45,-45855.63
2875,ID-2014-68799,2015-06-19,2015-06-22,특급 배송,BP-11290,문회창,소비자,수원시,경기도,대한민국,수도권,TEC-AC-10002255,사무기기,악세사리,"Memorex Keyboard, Erganomic",112147.47,3,0.47,-19126.53
2876,ID-2014-68799,2015-06-19,2015-06-22,특급 배송,BP-11290,문회창,소비자,수원시,경기도,대한민국,수도권,OFF-AR-10001226,사무용품,필기구,"Boston Pencil Sharpener, Fluorescent",49018.14,2,0.17,-8877.06
2877,IN-2015-36683,2016-08-15,2016-08-20,빠른 배송,SK-19990,류상은,소비자,서귀포시,제주특별자치도,대한민국,호남,OFF-AR-10003962,사무용품,필기구,"Binney & Smith Highlighters, Water Color",73603.71,5,0.27,16075.71
2878,IN-2015-36683,2016-08-15,2016-08-20,빠른 배송,SK-19990,류상은,소비자,서귀포시,제주특별자치도,대한민국,호남,FUR-FU-10002829,가구,가구류,"Deflect-O Clock, Black",149843.304,4,0.27,-41100.696
2879,IN-2013-30943,2014-08-04,2014-08-09,표준 배송,KH-16330,서주철,기업 고객,북구,울산광역시,대한민국,영남,OFF-AR-10001329,사무용품,필기구,"BIC Pens, Fluorescent",69426.504,6,0.27,1861.704
2880,IN-2013-30943,2014-08-04,2014-08-09,표준 배송,KH-16330,서주철,기업 고객,북구,울산광역시,대한민국,영남,OFF-PA-10004335,사무용품,종이,"Green Bar Computer Printout Paper, Recycled",48118.806,3,0.47,-17334.594
2881,IN-2013-30943,2014-08-04,2014-08-09,표준 배송,KH-16330,서주철,기업 고객,북구,울산광역시,대한민국,영남,OFF-AP-10002312,사무용품,가전,"KitchenAid Refrigerator, Black",3571771.536,8,0.17,215073.936
2882,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-AR-10000681,사무용품,필기구,"Binney & Smith Sketch Pad, Water Color",55539,2,0.45,-31303.8
2883,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,FUR-BO-10004806,가구,책장,"Safco Corner Shelving, Traditional",594551.88,6,0.35,27411.48
2884,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,TEC-AC-10002482,사무기기,악세사리,"Logitech Mouse, Erganomic",91184.94,6,0.45,-72953.46
2885,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,TEC-PH-10003794,사무기기,전화기,"Nokia Smart Phone, Full Size",975145.5,2,0.25,-156075.3
2886,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-SU-10003559,사무용품,일반 사무용품,"Kleencut Ruler, Steel",36352.8,5,0.45,-15973.2
2887,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-BI-10002558,사무용품,바인더,"Cardinal Binder Covers, Economy",31212,3,0.15,-1836
2888,ID-2015-68099,2016-02-05,2016-02-08,특급 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,FUR-CH-10001322,가구,의자,"Harbour Creations Executive Leather Armchair, Adjustable",728433,2,0.25,-29161.8
2889,IN-2012-47414,2013-07-05,2013-07-11,표준 배송,JS-16030,김서연,소비자,안양시,경기도,대한민국,수도권,OFF-EN-10003413,사무용품,봉투,"Jiffy Interoffice Envelope, with clear poly window",253878.408,6,0.17,36679.608
2890,IN-2013-36788,2014-08-14,2014-08-18,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,FUR-BO-10002289,가구,책장,"Ikea Corner Shelving, Pine",380694.6,3,0,91341
2891,IN-2013-36788,2014-08-14,2014-08-18,표준 배송,EM-13960,권상혁,소비자,계양구,인천광역시,대한민국,수도권,OFF-ST-10001753,사무용품,수납용품,"Eldon Shelving, Industrial",349146,7,0,52264.8
2892,ID-2015-15179,2016-11-04,2016-11-08,표준 배송,PH-18790,전용상,홈 오피스,관악구,서울특별시,대한민국,수도권,TEC-AC-10000111,사무기기,악세사리,"SanDisk Mouse, USB",62471.736,3,0.47,-55399.464
2893,IN-2014-44005,2015-08-21,2015-08-28,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,TEC-PH-10003613,사무기기,전화기,"Apple Signal Booster, VoIP",1389169.008,12,0.17,49990.608
2894,IN-2012-64046,2013-03-17,2013-03-17,당일 배송,PF-19120,류은하수,소비자,남구,광주광역시,대한민국,호남,OFF-LA-10000195,사무용품,라벨,"Novimex File Folder Labels, Laser Printer Compatible",50490,6,0,367.2
2895,IN-2014-58222,2015-11-02,2015-11-06,표준 배송,OT-18730,최유인,소비자,거창군,경상남도,대한민국,영남,TEC-AC-10001022,사무기기,악세사리,"SanDisk Flash Drive, USB",72981,2,0.1,8109
2896,IN-2014-58222,2015-11-02,2015-11-06,표준 배송,OT-18730,최유인,소비자,거창군,경상남도,대한민국,영남,OFF-FA-10000294,사무용품,파스너,"Advantus Clamps, Metal",71273.52,4,0.1,12643.92
2897,IN-2014-58222,2015-11-02,2015-11-06,표준 배송,OT-18730,최유인,소비자,거창군,경상남도,대한민국,영남,OFF-PA-10003499,사무용품,종이,"Xerox Parchment Paper, 8.5 x 11",47919.6,3,0.1,19645.2
2898,IN-2014-72390,2015-06-21,2015-06-23,빠른 배송,CJ-12010,차유성,소비자,양평군,경기도,대한민국,수도권,TEC-PH-10000896,사무기기,전화기,"Cisco Signal Booster, VoIP",1084708.8,7,0,368638.2
2899,IN-2015-16929,2016-09-06,2016-09-10,빠른 배송,RR-19315,문지선,소비자,관악구,서울특별시,대한민국,수도권,OFF-AR-10003978,사무용품,필기구,"Binney & Smith Sketch Pad, Easy-Erase",47521.8,2,0.5,-10495.8
2900,IN-2015-16929,2016-09-06,2016-09-10,빠른 배송,RR-19315,문지선,소비자,관악구,서울특별시,대한민국,수도권,OFF-FA-10000581,사무용품,파스너,"Stockwell Thumb Tacks, Metal",27846,4,0.5,-9486
2901,IN-2014-15921,2015-11-02,2015-11-07,표준 배송,BO-11350,차태민,기업 고객,구로구,서울특별시,대한민국,수도권,OFF-FA-10002569,사무용품,파스너,"Stockwell Staples, Metal",22276.8,4,0.5,0
2902,IN-2013-16845,2014-12-16,2014-12-21,표준 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-PA-10001258,사무용품,종이,"Green Bar Cards & Envelopes, Multicolor",457164,9,0,41034.6
2903,IN-2013-16845,2014-12-16,2014-12-21,표준 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-EN-10001029,사무용품,봉투,"Cameo Business Envelopes, Recycled",78948,4,0,734.4
2904,IN-2013-16845,2014-12-16,2014-12-21,표준 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-LA-10000732,사무용품,라벨,"Novimex Round Labels, 5000 Label Set",33966,5,0,10404
2905,IN-2013-16845,2014-12-16,2014-12-21,표준 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-LA-10002180,사무용품,라벨,"Hon Color Coded Labels, 5000 Label Set",53856,4,0,17136
2906,IN-2013-16845,2014-12-16,2014-12-21,표준 배송,MF-18250,손소진,기업 고객,김천시,경상북도,대한민국,영남,OFF-BI-10003340,사무용품,바인더,"Acco Index Tab, Durable",18237.6,2,0,4161.6
2907,ID-2014-48709,2015-08-03,2015-08-08,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,OFF-BI-10004483,사무용품,바인더,"Ibico Index Tab, Clear",42516.252,6,0.17,-6688.548
2908,ID-2014-48709,2015-08-03,2015-08-08,표준 배송,CS-12175,이한울,기업 고객,광명시,경기도,대한민국,수도권,OFF-PA-10004268,사무용품,종이,"SanDisk Note Cards, 8.5 x 11",80360.19,5,0.47,-60705.81
2909,IN-2014-15410,2015-04-24,2015-04-28,표준 배송,JM-15865,민춘자,소비자,동구,인천광역시,대한민국,수도권,OFF-ST-10002505,사무용품,수납용품,"Tenex Box, Wire Frame",42879.78,3,0.1,11851.38
2910,IN-2014-15410,2015-04-24,2015-04-28,표준 배송,JM-15865,민춘자,소비자,동구,인천광역시,대한민국,수도권,OFF-BI-10002632,사무용품,바인더,"Acco Binding Machine, Recycled",236155.5,5,0.1,44599.5
2911,IN-2014-15410,2015-04-24,2015-04-28,표준 배송,JM-15865,민춘자,소비자,동구,인천광역시,대한민국,수도권,OFF-SU-10000866,사무용품,일반 사무용품,"Elite Trimmer, Serrated",493131.24,14,0.1,10752.84
2912,IN-2014-71753,2015-12-20,2015-12-25,표준 배송,JM-16195,백현민,소비자,연천군,경기도,대한민국,수도권,FUR-BO-10002204,가구,책장,"Bush Classic Bookcase, Pine",422310.6,1,0,173134.8
2913,IN-2015-19169,2016-05-06,2016-05-10,표준 배송,TB-21175,김병철,기업 고객,울주군,울산광역시,대한민국,영남,OFF-PA-10004380,사무용품,종이,"SanDisk Memo Slips, Multicolor",118174.14,7,0.1,2506.14
2914,ID-2015-26288,2016-08-23,2016-08-29,표준 배송,BD-11560,조희성,홈 오피스,청주시,충청북도,대한민국,충청,TEC-CO-10003393,사무기기,복사기,"Sharp Personal Copier, Digital",329488.56,3,0.1,-25685.64
2915,IN-2014-53609,2015-06-26,2015-07-01,표준 배송,EH-14125,민보미,홈 오피스,서구,대구광역시,대한민국,영남,OFF-PA-10002930,사무용품,종이,"SanDisk Cards & Envelopes, Premium",122977.116,3,0.17,14744.916
2916,IN-2014-53609,2015-06-26,2015-07-01,표준 배송,EH-14125,민보미,홈 오피스,서구,대구광역시,대한민국,영남,OFF-SU-10002911,사무용품,일반 사무용품,"Acme Scissors, Serrated",56231.172,3,0.17,7393.572
2917,IN-2014-53609,2015-06-26,2015-07-01,표준 배송,EH-14125,민보미,홈 오피스,서구,대구광역시,대한민국,영남,FUR-CH-10000258,가구,의자,"Office Star Steel Folding Chair, Red",136574.532,2,0.27,-39314.268
